N;GRAU;PageRank;PESO;R-BEP;D-BRANCH
1;1;0.00048631;2056.3;0;0
2;1;0.000544109;1837.87;0;0
3;5;0.0018413;543.094;1;100
4;1;0.00046273;2161.09;0;0
5;1;0.000541494;1846.74;0;0
6;1;0.000550221;1817.45;0;0
7;5;0.0014678;681.292;0;4
8;3;0.00106403;939.823;0;0
9;5;0.00183072;546.233;1;100
10;5;0.00181727;550.275;1;100
11;1;0.000490366;2039.29;0;0
12;4;0.00189362;528.089;1;100
13;4;0.00135786;736.454;0;0
14;4;0.00132094;757.036;0;0
15;1;0.000540095;1851.53;0;0
16;1;0.000464724;2151.82;0;0
17;1;0.000509302;1963.47;0;0
18;4;0.00132441;755.054;0;21
19;3;0.00104731;954.826;0;0
20;4;0.00119792;834.784;0;0
21;1;0.000469019;2132.11;0;0
22;4;0.00136229;734.056;0;0
23;1;0.000455854;2193.69;0;0
24;1;0.000488194;2048.37;0;0
25;1;0.000464437;2153.14;0;0
26;5;0.00188442;530.666;1;100
27;1;0.000547345;1827;0;0
28;1;0.000551387;1813.61;0;0
29;6;0.0019388;515.784;0;12
30;4;0.00133834;747.192;0;0
31;4;0.00162531;615.269;1;100
32;1;0.000487474;2051.39;0;0
33;1;0.000542664;1842.76;0;0
34;7;0.00252321;396.321;1;100
35;4;0.00165257;605.119;1;100
36;4;0.00131425;760.888;0;0
37;1;0.000460423;2171.92;0;0
38;1;0.00053558;1867.13;0;0
39;1;0.000561699;1780.31;0;0
40;4;0.00186986;534.8;1;100
41;1;0.000493771;2025.23;0;0
42;1;0.000550221;1817.45;0;0
43;1;0.000480765;2080.02;0;0
44;1;0.000537892;1859.11;0;0
45;1;0.000485994;2057.64;0;0
46;1;0.000546158;1830.97;0;0
47;4;0.00184783;541.174;1;100
48;1;0.000456389;2191.11;0;0
49;3;0.000905227;1104.7;0;0
50;1;0.000463816;2156.03;0;0
51;4;0.00139019;719.325;0;0
52;1;0.000497415;2010.39;0;0
53;4;0.00167094;598.466;1;100
54;1;0.000501171;1995.33;0;0
55;4;0.00155165;644.475;1;100
56;1;0.000459872;2174.52;0;0
57;5;0.00200171;499.574;1;100
58;4;0.00142805;700.255;1;32
59;1;0.000509327;1963.38;0;0
60;1;0.000547016;1828.1;0;0
