N;GRAU;PageRank;PESO;R-BEP;D-BRANCH
1;5;0.0122114;81.8905;0;28
2;1;0.0036151;276.618;0;0
3;1;0.00328156;304.733;0;0
4;2;0.00562002;177.935;0;0
5;1;0.00388499;257.401;0;0
6;4;0.0100128;99.8725;0;12
7;4;0.0131636;75.9671;1;100
8;1;0.00335904;297.704;0;0
9;2;0.00690895;144.74;0;0
10;1;0.00386869;258.485;0;0
11;5;0.0134129;74.5551;1;100
12;2;0.0055585;179.905;0;0
13;2;0.00619126;161.518;0;0
14;3;0.00805351;124.169;0;0
15;1;0.00361248;276.818;0;0
16;1;0.00341505;292.822;0;0
17;2;0.00527207;189.679;0;0
18;4;0.0104753;95.4628;0;35
19;4;0.013031;76.74;1;100
20;1;0.0033024;302.81;0;0
21;4;0.0119579;83.6269;1;100
22;4;0.0114323;87.4713;1;100
23;4;0.0103353;96.7561;0;65
24;5;0.0131234;76.2;0;49
25;2;0.00515927;193.826;0;0
26;5;0.013786;72.5374;1;100
27;1;0.00353126;283.185;0;0
28;1;0.00388499;257.401;0;0
29;1;0.00386869;258.485;0;0
30;2;0.0062379;160.31;0;0
31;2;0.006214;160.927;0;0
32;1;0.00361248;276.818;0;0
33;1;0.00385443;259.442;0;0
34;1;0.00321161;311.371;0;0
35;1;0.00343644;290.999;0;0
36;5;0.0115067;86.9059;0;0
37;3;0.00747167;133.839;0;0
38;4;0.00916547;109.105;0;11
39;2;0.00560655;178.363;0;0
40;4;0.0133377;74.9756;1;100
41;1;0.00335162;298.363;0;0
42;2;0.00586396;170.533;0;0
43;1;0.0034113;293.143;0;0
44;2;0.00586045;170.635;0;0
45;2;0.00555726;179.945;0;0
46;2;0.00579458;172.575;0;0
47;5;0.0137639;72.6536;1;100
48;1;0.00388499;257.401;0;0
49;4;0.0130965;76.3565;1;100
50;1;0.00357862;279.437;0;0
51;4;0.0114398;87.4143;1;100
52;5;0.0128634;77.7401;0;56
53;1;0.00325846;306.893;0;0
54;1;0.0031551;316.947;0;0
55;4;0.0117985;84.7562;1;100
56;5;0.0127427;78.4763;1;82
57;5;0.0134565;74.3133;1;100
58;1;0.00357862;279.437;0;0
59;6;0.0147083;67.989;1;99
60;5;0.011392;87.7806;0;0
61;4;0.0123576;80.9219;1;100
62;5;0.0125893;79.4327;1;91
63;4;0.0118257;84.5616;1;100
64;1;0.0035008;285.649;0;0
65;5;0.0137049;72.9666;1;100
66;2;0.00573432;174.389;0;0
67;4;0.0101307;98.71;0;0
68;1;0.00352019;284.076;0;0
69;2;0.00606772;164.806;0;0
70;1;0.00340126;294.008;0;0
71;2;0.0057266;174.624;0;0
72;1;0.00385443;259.442;0;0
73;2;0.00633837;157.769;0;0
74;4;0.0119702;83.5408;1;100
75;2;0.0061713;162.041;0;0
76;1;0.00386869;258.485;0;0
77;1;0.00355524;281.275;0;0
78;1;0.00390568;256.037;0;0
79;4;0.0111295;89.8517;0;85
80;1;0.00390568;256.037;0;0
81;1;0.00350238;285.52;0;0
82;1;0.00328156;304.733;0;0
83;1;0.00355524;281.275;0;0
84;4;0.00967585;103.35;0;0
85;3;0.00787565;126.974;0;0
86;2;0.00560012;178.567;0;0
87;4;0.0108553;92.1209;0;46
88;1;0.00314737;317.725;0;0
89;1;0.00353126;283.185;0;0
90;1;0.00369742;270.459;0;0
91;2;0.00560302;178.475;0;0
92;3;0.00810961;123.31;1;27
93;1;0.00400773;249.518;0;0
94;1;0.00358439;278.988;0;0
95;4;0.00979974;102.043;0;17
96;1;0.00329743;303.267;0;0
97;4;0.0115757;86.3879;1;100
98;2;0.00579981;172.42;0;0
99;4;0.00945207;105.797;0;0
100;2;0.00530904;188.358;0;0
101;4;0.010196;98.078;0;0
102;2;0.00560208;178.505;0;0
103;1;0.00325846;306.893;0;0
104;1;0.00385443;259.442;0;0
105;1;0.0035008;285.649;0;0
106;1;0.00369742;270.459;0;0
107;1;0.00341505;292.822;0;0
108;1;0.00335162;298.363;0;0
109;1;0.00335904;297.704;0;0
110;4;0.0106453;93.9381;0;22
111;4;0.00986068;101.413;0;1
112;1;0.0032582;306.918;0;0
113;4;0.0115236;86.7786;1;96
114;1;0.00384052;260.382;0;0
115;1;0.00340126;294.008;0;0
116;6;0.0154379;64.7757;1;100
117;5;0.0126012;79.3572;1;44
118;1;0.0036151;276.618;0;0
119;1;0.00355524;281.275;0;0
120;2;0.00558642;179.006;0;0
121;2;0.00587352;170.256;0;0
122;2;0.00539838;185.241;0;0
123;4;0.0132403;75.5271;1;100
124;1;0.00390568;256.037;0;0
125;1;0.00358439;278.988;0;0
126;5;0.0130008;76.9184;1;100
127;3;0.00828827;120.652;1;25
128;3;0.00780433;128.134;0;0
129;5;0.0123647;80.8753;1;13
130;5;0.0146106;68.4433;1;100
131;1;0.00384052;260.382;0;0
132;4;0.00994799;100.523;0;1
133;2;0.00559515;178.726;0;0
134;1;0.0034113;293.143;0;0
135;5;0.0121296;82.4432;0;0
136;3;0.00791994;126.264;0;0
137;1;0.00384052;260.382;0;0
138;4;0.00984778;101.546;0;0
139;4;0.01048;95.4198;0;14
140;2;0.00529609;188.819;0;0
