N;GRAU;PageRank;PESO;R-BEP;D-BRANCH
1;1;0.00133351;749.902;0;0
2;1;0.00141504;706.694;0;0
3;1;0.00141786;705.289;0;0
4;5;0.00485977;205.771;1;100
5;1;0.00139052;719.158;0;0
6;1;0.00141786;705.289;0;0
7;1;0.0013953;716.69;0;0
8;1;0.00133075;751.455;0;0
9;1;0.00141419;707.12;0;0
10;2;0.00226831;440.856;0;0
11;4;0.00391477;255.443;0;0
12;1;0.00138771;720.614;0;0
13;1;0.00141504;706.694;0;0
14;4;0.00489431;204.319;1;100
15;1;0.00140656;710.956;0;0
16;4;0.00447666;223.381;1;100
17;4;0.00433051;230.919;1;100
18;1;0.00139646;716.095;0;0
19;4;0.00489029;204.487;1;100
20;1;0.0012941;772.74;0;0
21;4;0.00409837;244;1;100
22;4;0.00373511;267.73;0;0
23;1;0.00132706;753.547;0;0
24;1;0.00141504;706.694;0;0
25;4;0.00484835;206.256;1;100
26;1;0.00140706;710.703;0;0
27;1;0.0013953;716.69;0;0
28;4;0.00366448;272.89;0;14
29;1;0.00139646;716.095;0;0
30;2;0.00223008;448.414;0;0
31;4;0.00482267;207.354;1;100
32;4;0.00485439;205.999;1;100
33;1;0.00141419;707.12;0;0
34;4;0.00484322;206.474;1;100
35;1;0.00121157;825.378;0;0
36;1;0.00131449;760.749;0;0
37;1;0.00122285;817.759;0;0
38;1;0.00141504;706.694;0;0
39;1;0.00141419;707.12;0;0
40;1;0.00140324;712.639;0;0
41;1;0.00140413;712.182;0;0
42;2;0.00197031;507.535;0;0
43;4;0.00443596;225.431;1;100
44;1;0.00141786;705.289;0;0
45;2;0.00226688;441.134;0;0
46;4;0.00478733;208.885;1;100
47;1;0.00139052;719.158;0;0
48;1;0.00131619;759.768;0;0
49;1;0.00131784;758.819;0;0
50;1;0.00131645;759.618;0;0
51;5;0.00525998;190.115;1;100
52;4;0.0044738;223.523;1;100
53;1;0.00138846;720.222;0;0
54;4;0.00489431;204.319;1;100
55;1;0.00137571;726.898;0;0
56;1;0.00138771;720.614;0;0
57;1;0.00129735;770.805;0;0
58;4;0.00476923;209.677;1;100
59;1;0.00132706;753.547;0;0
60;1;0.0013938;717.465;0;0
61;1;0.00133351;749.902;0;0
62;1;0.00129735;770.805;0;0
63;4;0.00432516;231.205;1;100
64;1;0.00139982;714.379;0;0
65;1;0.00138846;720.222;0;0
66;1;0.00139982;714.379;0;0
67;1;0.00140656;710.956;0;0
68;1;0.00139412;717.301;0;0
69;2;0.00230628;433.599;0;0
70;4;0.00490756;203.767;1;100
71;1;0.00130237;767.833;0;0
72;4;0.00347413;287.842;0;0
73;4;0.00405621;246.535;1;100
74;1;0.00132253;756.128;0;0
75;1;0.00129642;771.357;0;0
76;5;0.0054551;183.315;1;100
77;1;0.00139231;718.232;0;0
78;2;0.00212139;471.388;0;0
79;4;0.00485439;205.999;1;100
80;1;0.00129523;772.061;0;0
81;4;0.00475361;210.366;1;100
82;1;0.00140413;712.182;0;0
83;1;0.00124222;805.01;0;0
84;1;0.00132629;753.983;0;0
85;1;0.00130813;764.451;0;0
86;4;0.00433608;230.623;1;100
87;2;0.00230792;433.29;0;0
88;1;0.0013891;719.893;0;0
89;1;0.00139231;718.232;0;0
90;2;0.00232101;430.846;0;0
91;4;0.00376796;265.396;0;14
92;1;0.00141504;706.694;0;0
93;1;0.0012692;787.9;0;0
94;4;0.00410144;243.817;1;100
95;1;0.00140706;710.703;0;0
96;4;0.00449359;222.539;1;100
97;4;0.00479792;208.423;1;100
98;1;0.00130821;764.406;0;0
99;1;0.00132568;754.328;0;0
100;4;0.00434045;230.391;1;100
101;4;0.00407456;245.425;1;66
102;4;0.00484322;206.474;1;100
103;4;0.00418777;238.791;1;100
104;1;0.00131012;763.29;0;0
105;1;0.0013938;717.465;0;0
106;1;0.00139982;714.379;0;0
107;1;0.00130813;764.451;0;0
108;1;0.00141504;706.694;0;0
109;1;0.00138514;721.948;0;0
110;4;0.0040351;247.826;0;0
111;2;0.00200361;499.099;0;0
112;1;0.00140527;711.605;0;0
113;2;0.00203909;490.415;0;0
114;4;0.00374841;266.78;0;0
115;1;0.00138609;721.452;0;0
116;1;0.00133698;747.955;0;0
117;4;0.00477222;209.546;1;100
118;4;0.00443036;225.715;1;100
119;4;0.00449766;222.338;1;100
120;1;0.00141504;706.694;0;0
121;2;0.00226804;440.909;0;0
