N;GRAU;PageRank;PESO;R-BEP;D-BRANCH
1;1;0.000505775;1977.16;0;0
2;1;0.000557339;1794.24;0;0
3;1;0.000561826;1779.91;0;0
4;1;0.000550025;1818.1;0;0
5;1;0.000624145;1602.19;0;0
6;3;0.00112324;890.279;0;0
7;1;0.000608748;1642.71;0;0
8;4;0.00151116;661.745;0;0
9;1;0.00051545;1940.05;0;0
10;1;0.000519015;1926.73;0;0
11;4;0.00212928;469.641;1;100
12;1;0.000613481;1630.04;0;0
13;1;0.000600781;1664.5;0;0
14;1;0.000522454;1914.05;0;0
15;1;0.000553669;1806.13;0;0
16;1;0.000601842;1661.56;0;0
17;4;0.00151872;658.449;0;0
18;5;0.00222278;449.887;1;100
19;1;0.000536564;1863.71;0;0
20;1;0.000554008;1805.03;0;0
21;1;0.000550036;1818.06;0;0
22;1;0.000634769;1575.38;0;0
23;4;0.00191224;522.947;1;100
24;1;0.000612572;1632.46;0;0
25;1;0.000514226;1944.67;0;0
26;3;0.00130842;764.283;0;0
27;1;0.000555115;1801.43;0;0
28;1;0.000599271;1668.69;0;0
29;4;0.00174613;572.694;1;100
30;4;0.00156451;639.178;0;0
31;1;0.000619384;1614.51;0;0
32;3;0.00121531;822.834;0;0
33;4;0.00144198;693.489;0;0
34;5;0.00231887;431.244;1;100
35;4;0.00204789;488.308;1;100
36;1;0.000607433;1646.27;0;0
37;1;0.000619384;1614.51;0;0
38;1;0.000551162;1814.35;0;0
39;4;0.00172491;579.739;1;100
40;1;0.000613976;1628.73;0;0
41;1;0.00056052;1784.06;0;0
42;3;0.00103418;966.947;0;0
43;1;0.000505742;1977.29;0;0
44;5;0.00222712;449.01;1;100
45;1;0.000537845;1859.27;0;0
46;1;0.000588444;1699.4;0;0
47;5;0.00223159;448.111;1;100
48;1;0.000547288;1827.19;0;0
49;7;0.00287233;348.149;1;100
50;1;0.000534363;1871.39;0;0
51;4;0.00177104;564.64;1;100
52;3;0.00120409;830.506;0;0
53;1;0.000601605;1662.22;0;0
54;1;0.000599615;1667.74;0;0
55;1;0.000533892;1873.04;0;0
56;1;0.000513513;1947.37;0;0
57;1;0.000560875;1782.93;0;0
58;1;0.000606726;1648.19;0;0
59;3;0.00117557;850.649;0;0
60;1;0.000626665;1595.75;0;0
61;1;0.00060904;1641.93;0;0
62;1;0.000603474;1657.07;0;0
63;4;0.00210498;475.063;1;100
64;1;0.000613976;1628.73;0;0
65;1;0.000552892;1808.67;0;0
66;1;0.000571175;1750.78;0;0
67;1;0.000527428;1895.99;0;0
68;1;0.000612572;1632.46;0;0
69;1;0.000607433;1646.27;0;0
70;1;0.000543985;1838.28;0;0
71;5;0.00227368;439.816;1;100
72;1;0.000494154;2023.66;0;0
73;1;0.000612572;1632.46;0;0
74;3;0.00122878;813.815;0;0
75;1;0.000564782;1770.6;0;0
76;1;0.000598019;1672.19;0;0
77;4;0.00177921;562.046;1;100
78;4;0.00181821;549.991;1;100
79;1;0.00061914;1615.14;0;0
80;3;0.00121028;826.253;0;0
81;1;0.000502142;1991.47;0;0
82;1;0.000608881;1642.36;0;0
83;6;0.00241528;414.03;1;100
84;1;0.00055848;1790.58;0;0
85;1;0.000547672;1825.91;0;0
86;1;0.000547985;1824.87;0;0
87;4;0.00211404;473.027;1;100
88;1;0.000538157;1858.19;0;0
89;1;0.000626665;1595.75;0;0
