N;GRAU;PageRank;PESO;R-BEP;D-BRANCH
1;1;0.0047669;209.78;0;0
2;4;0.013443;74.3879;0;7
3;1;0.00468022;213.665;0;0
4;1;0.00474168;210.896;0;0
5;3;0.00988688;101.144;0;0
6;2;0.00818716;122.142;0;0
7;5;0.0171541;58.295;0;20
8;4;0.0129269;77.3582;0;0
9;2;0.00750114;133.313;0;0
10;2;0.00783414;127.646;0;0
11;5;0.0171569;58.2856;0;24
12;3;0.0103642;96.4856;0;3
13;3;0.0099794;100.206;0;0
14;4;0.0136666;73.1709;0;0
15;1;0.00522881;191.248;0;0
16;6;0.0190286;52.5524;0;9
17;3;0.0108492;92.1727;0;1
18;7;0.0239449;41.7626;1;100
19;3;0.010614;94.2155;0;1
20;5;0.0162912;61.383;0;11
21;2;0.0089623;111.578;0;0
22;3;0.0110595;90.4197;0;2
23;4;0.0123318;81.0909;0;0
24;4;0.0125376;79.7601;0;0
25;5;0.0177899;56.2118;0;56
26;1;0.00497571;200.976;0;0
27;2;0.00878469;113.834;0;0
28;6;0.0188998;52.9107;0;19
29;3;0.0100952;99.0573;0;0
30;5;0.0168628;59.302;0;4
31;8;0.024806;40.3128;0;40
32;3;0.0100435;99.5669;0;0
33;1;0.00479167;208.695;0;0
34;2;0.00791294;126.375;0;0
35;7;0.0231018;43.2867;1;93
36;3;0.010095;99.0589;0;1
37;7;0.0214705;46.5755;0;9
38;1;0.00489928;204.112;0;0
39;5;0.0157037;63.6792;1;14
40;1;0.00482416;207.29;0;0
41;7;0.0214933;46.5262;0;5
42;4;0.0129548;77.1914;0;1
43;3;0.0106011;94.3301;0;0
44;6;0.0188346;53.0938;0;28
45;3;0.0101143;98.8695;0;0
46;8;0.024079;41.53;1;36
47;4;0.0130143;76.8388;0;2
48;6;0.0208176;48.0362;0;74
49;4;0.0131406;76.1;0;6
50;5;0.0182395;54.8261;1;94
51;2;0.0075561;132.343;0;0
52;2;0.00764418;130.819;0;0
53;3;0.0105135;95.1155;0;4
54;8;0.0236178;42.3409;0;7
55;4;0.013732;72.8227;0;12
56;7;0.0218064;45.858;0;35
57;2;0.0075472;132.499;0;0
58;2;0.00747051;133.86;0;0
59;2;0.00723895;138.141;0;0
60;3;0.0102676;97.3933;0;1
61;5;0.0154406;64.7641;0;0
62;1;0.00478259;209.092;0;0
63;4;0.0126342;79.1502;0;0
64;1;0.00478259;209.092;0;0
65;4;0.0131437;76.0819;0;0
66;6;0.0194118;51.5151;0;18
67;2;0.00784015;127.549;0;0
68;2;0.00754204;132.59;0;0
69;6;0.0185441;53.9256;0;18
70;1;0.0047912;208.716;0;0
71;5;0.0168343;59.4027;0;6
72;5;0.0170112;58.785;0;9
73;3;0.0105339;94.9318;0;1
74;4;0.0128128;78.0469;0;0
75;3;0.0104023;96.1322;0;0
76;3;0.0100865;99.1428;0;0
77;3;0.0100488;99.5144;0;0
78;2;0.00729323;137.113;0;0
79;7;0.0214042;46.7197;0;4
80;4;0.0157826;63.3608;1;32
