N;GRAU;PageRank;PESO;R-BEP;D-BRANCH
1;4;0.0273136;36.6118;1;100
2;6;0.0364901;27.4047;1;100
3;4;0.0272965;36.6348;1;100
4;1;0.00828556;120.692;0;0
5;3;0.0194224;51.4869;0;0
6;1;0.00812774;123.035;0;0
7;4;0.0235978;42.3769;0;0
8;1;0.00830414;120.422;0;0
9;1;0.00901447;110.933;0;0
10;2;0.0136877;73.0584;0;0
11;4;0.0256377;39.005;0;0
12;5;0.0320937;31.1587;1;100
13;1;0.00812774;123.035;0;0
14;1;0.00866004;115.473;0;0
15;1;0.00804857;124.246;0;0
16;1;0.0083005;120.475;0;0
17;3;0.0191446;52.2342;0;0
18;1;0.00866004;115.473;0;0
19;1;0.00908305;110.095;0;0
20;2;0.014285;70.0033;0;0
21;1;0.00901447;110.933;0;0
22;4;0.0245299;40.7666;0;0
23;1;0.00844956;118.349;0;0
24;4;0.0282329;35.4197;1;100
25;1;0.00844956;118.349;0;0
26;5;0.0312781;31.9712;0;0
27;5;0.0326386;30.6385;1;100
28;1;0.00828556;120.692;0;0
29;4;0.0238017;42.0137;0;0
30;5;0.0340327;29.3835;1;100
31;1;0.00805994;124.07;0;0
32;2;0.0146039;68.4748;0;0
33;2;0.0148667;67.2644;0;0
34;4;0.0309791;32.2799;1;100
35;4;0.0306563;32.6197;1;100
36;1;0.00795494;125.708;0;0
37;1;0.00830414;120.422;0;0
38;1;0.00795593;125.692;0;0
39;4;0.0282992;35.3367;1;100
40;1;0.00908305;110.095;0;0
41;4;0.0289884;34.4965;1;100
42;5;0.0331044;30.2075;1;100
43;1;0.00849948;117.654;0;0
44;1;0.00901447;110.933;0;0
45;2;0.0133802;74.7372;0;0
46;1;0.00844956;118.349;0;0
47;3;0.0189857;52.6712;0;0
48;1;0.00849948;117.654;0;0
49;2;0.0138309;72.302;0;0
50;1;0.00851359;117.459;0;0
51;5;0.0349974;28.5735;1;100
52;1;0.00908305;110.095;0;0
53;1;0.00795593;125.692;0;0
54;1;0.00804857;124.246;0;0
55;1;0.0083005;120.475;0;0
56;1;0.00851359;117.459;0;0
57;2;0.0133342;74.995;0;0
58;4;0.0256703;38.9555;1;100
59;4;0.0261644;38.2198;0;0
60;2;0.0136085;73.4834;0;0
