N;GRAU;PageRank;R-BEP;D-BRANCH
1;2;0.00482164;0;0
2;1;0.00341454;0;0
3;5;0.00960898;0;19
4;1;0.00302519;0;0
5;4;0.00803659;0;0
6;7;0.0144275;1;42
7;6;0.011579;0;10
8;3;0.00629435;0;0
9;4;0.00815297;0;0
10;2;0.00465168;0;0
11;3;0.00614862;0;0
12;5;0.0113279;0;80
13;3;0.00705539;0;0
14;2;0.00459958;0;0
15;5;0.0117112;0;88
16;2;0.0054487;0;0
17;4;0.00785246;0;0
18;2;0.00445126;0;0
19;6;0.0121277;1;53
20;2;0.00477828;0;0
21;2;0.0054487;0;0
22;2;0.00539683;0;0
23;2;0.00496056;0;0
24;3;0.00642753;0;0
25;4;0.00875873;0;6
26;2;0.00504022;0;0
27;2;0.00452399;0;0
28;2;0.00444821;0;0
29;4;0.00793142;0;0
30;4;0.00830685;0;3
31;2;0.00474845;0;0
32;4;0.00833667;0;0
33;2;0.00502422;0;0
34;2;0.00487269;0;0
35;4;0.00839628;0;0
36;5;0.0102596;0;24
37;2;0.00435884;0;0
38;2;0.00495231;0;0
39;7;0.0130181;1;54
40;1;0.00299717;0;0
41;3;0.0069631;0;7
42;3;0.00622636;0;0
43;4;0.00928263;0;18
44;2;0.00489423;0;0
45;5;0.0104671;1;45
46;4;0.00822939;0;1
47;1;0.00296905;0;0
48;1;0.00296905;0;0
49;2;0.00440862;0;0
50;2;0.00431393;0;0
51;2;0.00463011;0;0
52;5;0.0100234;0;3
53;4;0.00829169;0;2
54;6;0.0125073;0;20
55;3;0.00624197;0;0
56;1;0.00306233;0;0
57;5;0.0101898;1;23
58;2;0.00490207;0;0
59;1;0.00282334;0;0
60;3;0.00667616;0;0
61;6;0.0126023;1;67
62;3;0.00601343;0;0
63;3;0.00615107;0;0
64;4;0.0110264;1;100
65;5;0.0115494;1;56
66;1;0.00309501;0;0
67;2;0.00521698;0;0
68;1;0.00304399;0;0
69;5;0.0114927;1;98
70;4;0.00873698;0;24
71;1;0.00278952;0;0
72;2;0.00506976;0;0
73;4;0.00793386;0;0
74;6;0.0117299;0;28
75;2;0.00466516;0;0
76;1;0.00295855;0;0
77;6;0.0108515;0;0
78;2;0.00595843;0;0
79;2;0.00479705;0;0
80;2;0.00479188;0;0
81;5;0.0100391;0;39
82;7;0.0156275;1;100
83;6;0.0118453;0;26
84;4;0.00832241;0;0
85;5;0.00919804;0;0
86;2;0.00530917;0;0
87;2;0.00442067;0;0
88;4;0.00970152;0;33
89;2;0.00444443;0;0
90;6;0.0119538;0;19
91;3;0.00699632;0;1
92;2;0.00535141;0;0
93;6;0.0133208;1;80
94;6;0.0111923;0;0
95;2;0.00481534;0;0
96;3;0.00664475;0;0
97;4;0.00774908;0;0
98;2;0.00453292;0;0
99;5;0.00980724;0;11
100;4;0.00857801;0;0
101;3;0.00661222;0;0
102;4;0.00952273;0;55
103;1;0.00285676;0;0
104;3;0.00662254;0;0
105;2;0.00474412;0;0
106;5;0.0101248;0;30
107;5;0.00971641;0;24
108;1;0.00360376;0;0
109;1;0.00288014;0;0
110;4;0.00782915;0;0
111;4;0.00790213;0;0
112;1;0.00284329;0;0
113;5;0.0107283;0;20
114;2;0.00493355;0;0
115;3;0.00616255;0;0
116;5;0.00920915;0;0
117;1;0.00341454;0;0
118;1;0.00303482;0;0
119;8;0.0151051;0;58
120;2;0.00465153;0;0
121;5;0.0109594;0;46
122;2;0.00480646;0;0
123;3;0.0071216;0;0
124;3;0.00671315;0;0
125;2;0.00482371;0;0
126;6;0.0118256;0;12
127;7;0.0138971;0;46
128;3;0.00673134;0;0
129;4;0.00803781;0;0
130;4;0.00865757;1;17
131;1;0.00275893;0;0
132;2;0.00434532;0;0
133;2;0.00495631;0;0
134;3;0.00661368;0;0
135;6;0.0127673;0;77
136;2;0.00470296;0;0
137;5;0.0104771;1;3
138;2;0.00506498;0;0
139;2;0.00460981;0;0
140;5;0.00951591;0;0
