N;GRAU;PageRank;R-BEP;D-BRANCH
1;5;0.00547019;1;100
2;2;0.00204172;0;0
3;2;0.00209915;0;0
4;4;0.00388375;1;16
5;1;0.00122396;0;0
6;1;0.00126231;0;0
7;5;0.00558393;1;100
8;4;0.0047773;1;100
9;1;0.00129911;0;0
10;1;0.00138521;0;0
11;1;0.00134209;0;0
12;2;0.00212656;0;0
13;6;0.0058514;1;100
14;2;0.00200774;0;0
15;2;0.00220576;0;0
16;2;0.00215149;0;0
17;1;0.00136166;0;0
18;1;0.00122567;0;0
19;1;0.00122567;0;0
20;2;0.0022418;0;0
21;4;0.00463982;1;100
22;1;0.00124349;0;0
23;2;0.00219269;0;0
24;2;0.00224661;0;0
25;1;0.00131769;0;0
26;1;0.00123076;0;0
27;1;0.00124983;0;0
28;1;0.00126231;0;0
29;4;0.00378889;0;1
30;1;0.00135501;0;0
31;1;0.00134209;0;0
32;4;0.00436489;1;100
33;4;0.00411237;1;100
34;1;0.00136166;0;0
35;1;0.00138054;0;0
36;5;0.00502213;1;100
37;2;0.00203751;0;0
38;6;0.00607587;1;100
39;1;0.00126392;0;0
40;6;0.00590074;1;100
41;4;0.00389169;1;90
42;1;0.0013061;0;0
43;1;0.0013994;0;0
44;4;0.00432376;1;100
45;1;0.00138733;0;0
46;2;0.00211974;0;0
47;5;0.0044036;0;0
48;1;0.00139018;0;0
49;1;0.00120395;0;0
50;1;0.00130493;0;0
51;4;0.00476392;1;100
52;4;0.00387006;0;5
53;4;0.00476392;1;100
54;4;0.00425612;1;100
55;1;0.00125254;0;0
56;1;0.00137409;0;0
57;1;0.00126713;0;0
58;1;0.00130068;0;0
59;4;0.00355347;0;0
60;4;0.00469873;1;100
61;1;0.00127655;0;0
62;2;0.00197737;0;0
63;4;0.0047773;1;100
64;1;0.00137396;0;0
65;1;0.00140003;0;0
66;2;0.00221927;0;0
67;1;0.00117046;0;0
68;1;0.0013994;0;0
69;1;0.00135501;0;0
70;4;0.00401148;1;100
71;5;0.00536337;1;100
72;2;0.00212381;0;0
73;1;0.0011882;0;0
74;1;0.00126392;0;0
75;4;0.00434877;1;100
76;2;0.00217296;0;0
77;1;0.00138733;0;0
78;1;0.00118033;0;0
79;1;0.00114673;0;0
80;1;0.00130254;0;0
81;4;0.00430597;1;100
82;4;0.00482365;1;100
83;4;0.00424258;1;100
84;6;0.00532006;1;99
85;1;0.00130234;0;0
86;1;0.00126231;0;0
87;1;0.00120395;0;0
88;4;0.00470733;1;100
89;1;0.001371;0;0
90;1;0.00128534;0;0
91;5;0.0055031;1;100
92;2;0.00212892;0;0
93;1;0.00136166;0;0
94;5;0.00504323;1;100
95;4;0.00469741;1;100
96;1;0.00135501;0;0
97;1;0.00140003;0;0
98;1;0.00130254;0;0
99;2;0.00202127;0;0
100;4;0.00412818;1;100
101;4;0.00399926;0;0
102;5;0.00514605;1;100
103;1;0.00137409;0;0
104;1;0.00130357;0;0
105;1;0.00124262;0;0
106;1;0.00139018;0;0
107;2;0.00209933;0;0
108;1;0.00132427;0;0
109;5;0.00526123;1;100
110;1;0.00122449;0;0
111;5;0.00522895;1;100
112;1;0.00138733;0;0
113;4;0.00384003;0;0
114;1;0.00128872;0;0
115;4;0.00422821;1;100
116;1;0.00137396;0;0
117;1;0.00137609;0;0
118;1;0.00129676;0;0
119;1;0.00131053;0;0
120;1;0.00126713;0;0
121;1;0.00118561;0;0
122;1;0.00122954;0;0
123;1;0.00132427;0;0
124;1;0.00128677;0;0
125;4;0.00393688;0;54
126;1;0.00138733;0;0
127;4;0.00377978;0;0
128;4;0.00394016;1;100
129;5;0.00500394;1;100
130;1;0.00129798;0;0
131;1;0.00128872;0;0
132;2;0.00204639;0;0
133;1;0.00121094;0;0
134;2;0.00223059;0;0
135;5;0.00453164;0;0
136;2;0.00201941;0;0
137;1;0.00139018;0;0
138;4;0.00434342;1;100
139;4;0.00471102;1;100
140;1;0.00140003;0;0
141;1;0.00137348;0;0
142;4;0.00428394;1;100
143;2;0.00194796;0;0
