N;GRAU;PageRank;PESO;R-BEP;D-BRANCH
1;5;0.010702;93.4406;1;74
2;1;0.0028317;353.145;0;0
3;5;0.011071;90.3263;0;69
4;5;0.00997074;100.293;0;0
5;3;0.00656346;152.359;0;0
6;3;0.00633278;157.909;0;0
7;6;0.0125773;79.5084;0;15
8;1;0.0029244;341.95;0;0
9;1;0.00289257;345.713;0;0
10;4;0.00973277;102.746;1;100
11;2;0.00459101;217.817;0;0
12;5;0.0116877;85.5603;1;100
13;1;0.00289683;345.205;0;0
14;3;0.00602401;166.002;0;0
15;2;0.00496963;201.222;0;0
16;6;0.0121232;82.4862;1;58
17;2;0.00523486;191.027;0;0
18;6;0.011902;84.0194;0;54
19;2;0.00459494;217.631;0;0
20;2;0.00486113;205.713;0;0
21;1;0.00307991;324.685;0;0
22;4;0.00798232;125.277;0;0
23;3;0.00627941;159.251;0;0
24;1;0.00327402;305.435;0;0
25;4;0.00866715;115.378;1;96
26;4;0.01017;98.3288;1;100
27;3;0.00635066;157.464;0;0
28;2;0.00502357;199.062;0;0
29;6;0.0115834;86.3304;1;43
30;1;0.00307991;324.685;0;0
31;2;0.00442843;225.814;0;0
32;5;0.0102248;97.8016;0;19
33;7;0.0154697;64.6425;1;100
34;5;0.0115255;86.7643;1;100
35;4;0.00993254;100.679;1;100
36;1;0.00282053;354.543;0;0
37;1;0.00302091;331.026;0;0
38;1;0.00274261;364.616;0;0
39;4;0.00805259;124.184;0;8
40;1;0.00288675;346.41;0;0
41;4;0.00950631;105.193;1;59
42;3;0.00613734;162.937;0;0
43;1;0.00281596;355.118;0;0
44;1;0.00295759;338.113;0;0
45;1;0.00310189;322.384;0;0
46;3;0.00613116;163.101;0;0
47;3;0.00616013;162.334;0;0
48;2;0.00455419;219.578;0;0
49;4;0.0101854;98.1801;1;100
50;4;0.00759779;131.617;0;0
51;3;0.00703422;142.162;0;0
52;2;0.00467921;213.711;0;0
53;2;0.00466351;214.431;0;0
54;5;0.0106183;94.1771;0;44
55;7;0.01523;65.6599;1;100
56;1;0.00278686;358.827;0;0
57;4;0.0109954;90.9471;1;100
58;2;0.00460137;217.327;0;0
59;4;0.00801072;124.833;0;0
60;2;0.00495931;201.641;0;0
61;1;0.00282053;354.543;0;0
62;1;0.00310189;322.384;0;0
63;5;0.0100204;99.7962;0;7
64;1;0.00327402;305.435;0;0
65;1;0.00265496;376.654;0;0
66;3;0.00648958;154.093;0;0
67;2;0.00456195;219.205;0;0
68;2;0.00522733;191.302;0;0
69;6;0.0132853;75.2712;1;100
70;2;0.00459555;217.602;0;0
71;2;0.00463444;215.776;0;0
72;6;0.0120709;82.8442;0;21
73;2;0.00470262;212.648;0;0
74;4;0.0087344;114.49;0;66
75;1;0.00313346;319.136;0;0
76;2;0.00441223;226.643;0;0
77;1;0.00304896;327.98;0;0
78;1;0.00275684;362.734;0;0
79;2;0.00467861;213.739;0;0
80;1;0.00289257;345.713;0;0
81;4;0.0084343;118.563;0;0
82;5;0.0111424;89.7476;1;100
83;1;0.00279579;357.681;0;0
84;1;0.00281596;355.118;0;0
85;6;0.0121745;82.1386;0;16
86;2;0.00535828;186.627;0;0
87;4;0.00818;122.249;0;16
88;2;0.00498492;200.605;0;0
89;2;0.00490599;203.832;0;0
90;1;0.00281596;355.118;0;0
91;4;0.0100694;99.3108;1;100
92;4;0.0103339;96.7685;1;100
93;5;0.0115004;86.9533;1;100
94;2;0.00449142;222.647;0;0
95;4;0.00845735;118.24;0;5
96;3;0.00595436;167.944;0;0
97;3;0.00711521;140.544;0;57
98;2;0.00446432;223.998;0;0
99;2;0.00471645;212.024;0;0
100;2;0.00462619;216.161;0;0
101;1;0.00307725;324.966;0;0
102;1;0.00298228;335.313;0;0
103;1;0.00304896;327.98;0;0
104;4;0.00980429;101.996;1;100
105;1;0.0029244;341.95;0;0
106;2;0.00452714;220.89;0;0
107;2;0.00459494;217.631;0;0
108;1;0.00281101;355.745;0;0
109;2;0.00447298;223.565;0;0
110;4;0.00794478;125.869;0;6
111;1;0.00300571;332.7;0;0
112;2;0.00449024;222.705;0;0
113;5;0.0100199;99.8013;0;0
114;4;0.00854435;117.036;0;3
115;6;0.013292;75.2332;1;100
116;4;0.0084417;118.46;0;13
117;2;0.00462109;216.399;0;0
118;4;0.00843703;118.525;0;0
119;5;0.00940519;106.324;0;0
120;1;0.00271928;367.744;0;0
121;5;0.00958702;104.308;0;0
122;1;0.00304817;328.066;0;0
123;1;0.00289683;345.205;0;0
124;5;0.0114662;87.2131;1;100
125;4;0.00874489;114.352;0;37
126;1;0.00313346;319.136;0;0
127;6;0.0120645;82.8875;1;89
128;2;0.00454429;220.056;0;0
129;2;0.00444296;225.075;0;0
130;2;0.00522733;191.302;0;0
131;5;0.0126024;79.35;1;100
132;5;0.00938438;106.56;0;0
133;1;0.00327402;305.435;0;0
134;2;0.00459679;217.543;0;0
135;4;0.00834524;119.829;1;2
136;1;0.00278686;358.827;0;0
137;1;0.0028317;353.145;0;0
138;1;0.00309862;322.725;0;0
139;2;0.00454069;220.231;0;0
140;2;0.00473938;210.998;0;0
141;1;0.00307991;324.685;0;0
142;1;0.00288675;346.41;0;0
143;4;0.00918832;108.834;1;95
144;1;0.00307725;324.966;0;0
145;4;0.00962252;103.923;1;100
146;1;0.00281958;354.662;0;0
147;2;0.00509165;196.4;0;0
148;4;0.008417;118.807;0;27
149;1;0.00302091;331.026;0;0
150;1;0.00289002;346.019;0;0
151;1;0.00298228;335.313;0;0
152;4;0.0099363;100.641;1;100
153;1;0.00281958;354.662;0;0
154;1;0.00281957;354.665;0;0
155;3;0.00677881;147.519;0;0
156;1;0.00304817;328.066;0;0
157;2;0.00437234;228.71;0;0
158;4;0.00847466;117.999;0;0
159;1;0.00309862;322.725;0;0
160;4;0.00881649;113.424;0;19
