N;GRAU;PageRank;PESO;R-BEP;D-BRANCH
1;1;0.00197011;507.585;0;0
2;1;0.0016857;593.227;0;0
3;4;0.00527607;189.535;0;0
4;5;0.00787762;126.942;1;100
5;1;0.00187062;534.581;0;0
6;1;0.00175128;571.012;0;0
7;2;0.00302941;330.097;0;0
8;5;0.00680422;146.968;1;63
9;1;0.00200074;499.815;0;0
10;5;0.00800554;124.913;1;100
11;1;0.00190932;523.747;0;0
12;1;0.00210863;474.242;0;0
13;1;0.0018444;542.181;0;0
14;3;0.00438091;228.263;0;0
15;2;0.00294015;340.119;0;0
16;1;0.00177141;564.523;0;0
17;1;0.00191643;521.804;0;0
18;1;0.00175672;569.243;0;0
19;1;0.00189732;527.059;0;0
20;1;0.00172658;579.178;0;0
21;2;0.00298443;335.073;0;0
22;2;0.00291065;343.565;0;0
23;5;0.00672685;148.658;0;3
24;5;0.00689063;145.125;0;81
25;4;0.00699313;142.997;1;100
26;1;0.0019332;517.277;0;0
27;1;0.00175128;571.012;0;0
28;5;0.00604344;165.469;0;0
29;5;0.00678792;147.321;0;75
30;3;0.00389149;256.971;0;0
31;5;0.00659804;151.56;0;0
32;6;0.00726678;137.613;0;0
33;1;0.00182419;548.19;0;0
34;5;0.00720383;138.815;1;100
35;2;0.00320274;312.233;0;0
36;1;0.00186017;537.584;0;0
37;1;0.00175316;570.398;0;0
38;1;0.0018708;534.53;0;0
39;4;0.00587147;170.315;0;0
40;2;0.00296948;336.759;0;0
41;1;0.00176142;567.722;0;0
42;1;0.00178575;559.99;0;0
43;2;0.00304711;328.18;0;0
44;1;0.00186262;536.877;0;0
45;8;0.0102183;97.8635;1;100
46;1;0.00182465;548.05;0;0
47;1;0.0018444;542.181;0;0
48;5;0.00732001;136.612;1;100
49;4;0.00659171;151.706;1;100
50;6;0.00725668;137.804;1;66
51;1;0.00196094;509.959;0;0
52;2;0.00319073;313.408;0;0
53;2;0.00301798;331.347;0;0
54;5;0.00662696;150.899;1;83
55;2;0.0029732;336.338;0;0
56;3;0.00427184;234.091;0;6
57;4;0.00492141;203.194;0;0
58;2;0.00268113;372.977;0;0
59;1;0.00184769;541.217;0;0
60;1;0.00174518;573.007;0;0
61;2;0.00311382;321.149;0;0
62;1;0.00196094;509.959;0;0
63;1;0.00196094;509.959;0;0
64;3;0.00440877;226.821;0;0
65;4;0.00530272;188.583;0;0
66;4;0.00576087;173.585;0;18
67;2;0.00299205;334.219;0;0
68;3;0.00415973;240.4;0;0
69;5;0.00616581;162.185;0;8
70;1;0.00181409;551.24;0;0
71;6;0.00812667;123.052;1;100
72;1;0.00186262;536.877;0;0
73;1;0.00172822;578.628;0;0
74;1;0.00176142;567.722;0;0
75;5;0.00786125;127.206;1;100
76;2;0.00290073;344.74;0;0
77;3;0.00425923;234.784;0;0
78;6;0.00779405;128.303;0;9
79;3;0.00416836;239.902;0;2
80;4;0.00544817;183.548;0;4
81;4;0.00520815;192.007;0;6
82;2;0.00312463;320.038;0;0
83;4;0.00619495;161.422;1;100
84;5;0.0074272;134.64;1;100
85;6;0.00836997;119.475;1;100
86;2;0.0028286;353.532;0;0
87;5;0.00610118;163.903;0;0
88;1;0.00190932;523.747;0;0
89;5;0.00652942;153.153;0;24
90;4;0.00511476;195.512;0;0
91;5;0.00673635;148.448;1;66
92;1;0.00191643;521.804;0;0
93;7;0.00884248;113.09;1;85
94;1;0.00193919;515.678;0;0
95;1;0.00175395;570.143;0;0
96;1;0.00175555;569.621;0;0
97;6;0.00716404;139.586;0;3
98;4;0.0054357;183.969;0;0
99;5;0.00742083;134.756;1;100
100;5;0.00679738;147.116;0;49
101;5;0.00679994;147.06;1;70
102;1;0.00187062;534.581;0;0
103;6;0.00889534;112.418;1;100
104;4;0.00472008;211.861;0;0
105;4;0.00604547;165.413;1;100
106;5;0.00671868;148.839;1;99
107;5;0.00635744;157.296;0;4
108;1;0.00189732;527.059;0;0
109;1;0.00188466;530.599;0;0
110;3;0.0044576;224.336;0;0
111;2;0.00279926;357.237;0;0
112;3;0.00416906;239.862;0;0
113;4;0.00603622;165.667;0;10
114;2;0.00284729;351.212;0;0
115;1;0.0016857;593.227;0;0
116;1;0.00175774;568.913;0;0
117;1;0.00197222;507.043;0;0
118;4;0.00566294;176.587;0;19
119;4;0.00584947;170.956;0;47
120;4;0.00516167;193.736;0;0
121;2;0.00280811;356.111;0;0
122;1;0.00208604;479.377;0;0
123;1;0.00197222;507.043;0;0
124;4;0.0064575;154.859;1;100
125;1;0.00171;584.795;0;0
