N;GRAU;PageRank;PESO;R-BEP;D-BRANCH
1;4;0.0161401;61.9574;0;0
2;2;0.00918906;108.825;0;0
3;3;0.012797;78.1435;0;0
4;3;0.0126226;79.2233;0;7
5;8;0.0320856;31.1666;1;84
6;5;0.0193003;51.8128;0;0
7;1;0.00694737;143.939;0;0
8;4;0.0154279;64.8175;0;0
9;6;0.0245828;40.6788;0;18
10;3;0.0126638;78.9652;0;0
11;5;0.0200665;49.8344;0;7
12;3;0.0134121;74.5593;0;0
13;3;0.0126131;79.2827;0;0
14;8;0.0294139;33.9975;0;19
15;6;0.0230277;43.4259;0;5
16;2;0.00921834;108.479;0;0
17;9;0.0333674;29.9694;0;39
18;3;0.0126839;78.8403;0;0
19;3;0.0129611;77.1537;0;0
20;3;0.0134181;74.5261;0;2
21;3;0.0154012;64.9301;0;0
22;5;0.0189905;52.658;0;3
23;2;0.010362;96.5066;0;0
24;8;0.031829;31.4179;0;43
25;5;0.0195421;51.1715;0;0
26;3;0.0130036;76.9018;0;0
27;1;0.00599831;166.714;0;0
28;3;0.0129964;76.9443;0;0
29;5;0.0197876;50.5366;0;0
30;4;0.0163671;61.0983;0;0
31;3;0.0133853;74.7086;0;0
32;2;0.00958869;104.29;0;0
33;8;0.0329253;30.3718;1;69
34;2;0.00917136;109.035;0;0
35;2;0.011311;88.4092;0;0
36;5;0.0197663;50.5911;0;0
37;7;0.027236;36.7161;0;36
38;4;0.0164933;60.6307;0;0
39;4;0.0167181;59.8155;0;0
40;5;0.0202045;49.4939;0;0
41;6;0.0261509;38.2396;1;55
42;2;0.0101988;98.0505;0;0
43;7;0.0273548;36.5566;0;36
44;3;0.012958;77.1725;0;0
45;4;0.0157105;63.6517;0;0
46;1;0.00620471;161.168;0;0
47;1;0.00603765;165.627;0;0
48;2;0.00967998;103.306;0;0
49;2;0.00974236;102.644;0;0
50;3;0.0138965;71.9608;0;0
51;8;0.0306019;32.6777;0;38
52;7;0.0291336;34.3246;0;60
53;4;0.0173654;57.5858;0;0
54;3;0.0127689;78.3152;0;0
55;4;0.0209288;47.7811;0;55
56;4;0.017735;56.3858;0;0
57;5;0.0186437;53.6375;0;0
58;1;0.00598257;167.152;0;0
59;1;0.00590909;169.231;0;0
60;5;0.0199805;50.0489;0;1
