N;GRAU;PageRank;PESO;R-BEP;D-BRANCH
1;1;0.00201824;495.482;0;0
2;3;0.00492871;202.893;0;1
3;3;0.00499997;200.001;1;9
4;2;0.00335711;297.875;0;0
5;3;0.00475661;210.234;0;0
6;4;0.0059317;168.586;0;0
7;7;0.0095469;104.746;0;75
8;3;0.00460341;217.23;0;0
9;1;0.00234566;426.32;0;0
10;3;0.0048991;204.119;0;0
11;2;0.0031934;313.146;0;0
12;1;0.00201243;496.912;0;0
13;3;0.00477898;209.25;0;0
14;1;0.00220343;453.838;0;0
15;3;0.00454286;220.126;0;0
16;2;0.00341443;292.874;0;0
17;4;0.00630168;158.688;0;0
18;4;0.00616405;162.231;0;0
19;2;0.00330969;302.143;0;0
20;2;0.00332691;300.579;0;0
21;5;0.00815053;122.691;1;73
22;1;0.00205878;485.724;0;0
23;2;0.00330363;302.697;0;0
24;5;0.0085496;116.965;1;100
25;5;0.0076266;131.12;0;35
26;3;0.00495354;201.876;0;0
27;4;0.00658361;151.892;0;39
28;1;0.00204266;489.559;0;0
29;4;0.00660039;151.506;0;17
30;1;0.00222121;450.204;0;0
31;7;0.0103965;96.1863;1;100
32;7;0.00958282;104.353;0;6
33;5;0.00770817;129.732;0;28
34;5;0.00723829;138.154;0;5
35;3;0.0044041;227.061;0;0
36;4;0.00654551;152.776;0;0
37;5;0.00725648;137.808;0;11
38;2;0.00331661;301.512;0;0
39;5;0.00682501;146.52;0;0
40;3;0.00450627;221.913;0;0
41;4;0.00581865;171.861;0;0
42;1;0.00225627;443.21;0;0
43;4;0.00708832;141.077;1;100
44;6;0.0082713;120.9;0;6
45;4;0.00676937;147.724;0;8
46;1;0.00225553;443.356;0;0
47;6;0.00858017;116.548;0;45
48;2;0.00335189;298.339;0;0
49;6;0.00815352;122.646;0;0
50;4;0.00651466;153.5;0;1
51;2;0.00360633;277.29;0;0
52;5;0.0070743;141.357;0;0
53;4;0.00646422;154.698;0;46
54;5;0.00767328;130.322;0;9
55;1;0.00213559;468.255;0;0
56;2;0.00341034;293.226;0;0
57;6;0.00887531;112.672;0;73
58;6;0.008901;112.347;1;68
59;2;0.00321954;310.603;0;0
60;4;0.00622911;160.537;0;14
61;7;0.0106454;93.9372;1;91
62;5;0.00769871;129.892;1;53
63;4;0.00568969;175.756;0;0
64;4;0.00658301;151.906;0;15
65;3;0.00453493;220.51;0;0
66;2;0.00366653;272.737;0;0
67;4;0.00708483;141.147;1;90
68;2;0.00349747;285.921;0;0
69;6;0.00955902;104.613;1;100
70;2;0.00318921;313.558;0;0
71;3;0.00464428;215.319;0;2
72;2;0.0033281;300.472;0;0
73;2;0.00355399;281.374;0;0
74;1;0.00207266;482.472;0;0
75;1;0.00262216;381.366;0;0
76;2;0.00340949;293.299;0;0
77;3;0.00445191;224.623;0;0
78;2;0.00327845;305.023;0;0
79;5;0.00849891;117.662;1;100
80;3;0.00418231;239.102;0;0
81;2;0.00330315;302.741;0;0
82;5;0.00778035;128.529;1;83
83;2;0.00341279;293.015;0;0
84;2;0.00337831;296.006;0;0
85;2;0.00377588;264.839;0;0
86;6;0.00808697;123.656;0;0
87;3;0.00471838;211.937;0;0
88;3;0.00481939;207.495;0;0
89;7;0.0100942;99.0665;1;90
90;1;0.00215258;464.558;0;0
91;5;0.00715458;139.771;1;18
92;2;0.00344207;290.523;0;0
93;6;0.00913544;109.464;1;89
94;5;0.0086542;115.551;1;100
95;1;0.00210419;475.241;0;0
96;3;0.00487716;205.038;0;0
97;2;0.00351972;284.113;0;0
98;4;0.00670452;149.153;0;24
99;3;0.00444688;224.877;0;0
100;8;0.0116778;85.6326;1;69
101;4;0.00750898;133.174;1;100
102;1;0.00214889;465.357;0;0
103;4;0.00640908;156.029;0;13
104;6;0.00805095;124.209;0;0
105;1;0.00219482;455.619;0;0
106;3;0.0047165;212.022;0;0
107;1;0.00216535;461.819;0;0
108;1;0.00239152;418.145;0;0
