N;GRAU;PageRank;PESO;R-BEP;D-BRANCH
1;6;0.00539431;185.38;1;100
2;2;0.00167493;597.038;0;0
3;4;0.00346554;288.555;0;0
4;1;0.00117433;851.553;0;0
5;1;0.00113085;884.29;0;0
6;1;0.00124196;805.176;0;0
7;2;0.00183052;546.293;0;0
8;4;0.00427591;233.868;1;100
9;1;0.00126927;787.856;0;0
10;7;0.00552882;180.87;1;100
11;4;0.00345305;289.599;0;0
12;1;0.00113288;882.708;0;0
13;4;0.00355848;281.019;0;17
14;2;0.00186138;537.236;0;0
15;1;0.00125334;797.869;0;0
16;1;0.00118277;845.471;0;0
17;1;0.00113166;883.661;0;0
18;4;0.00423774;235.975;1;100
19;1;0.00112189;891.352;0;0
20;1;0.00117319;852.377;0;0
21;1;0.00113189;883.481;0;0
22;1;0.00117433;851.553;0;0
23;4;0.00295869;337.988;0;0
24;1;0.00125334;797.869;0;0
25;1;0.00124417;803.751;0;0
26;4;0.00361132;276.907;1;100
27;4;0.00414868;241.041;1;100
28;2;0.00183274;545.632;0;0
29;4;0.00395761;252.678;1;100
30;1;0.00104554;956.441;0;0
31;1;0.00125334;797.869;0;0
32;4;0.00337544;296.258;0;20
33;1;0.0012122;824.948;0;0
34;4;0.00399417;250.365;1;100
35;1;0.00115453;866.153;0;0
36;2;0.00178933;558.87;0;0
37;2;0.00183791;544.095;0;0
38;1;0.00107963;926.247;0;0
39;1;0.00113166;883.661;0;0
40;4;0.00416722;239.968;1;100
41;4;0.0033448;298.971;0;48
42;1;0.00112428;889.455;0;0
43;4;0.0037199;268.824;1;100
44;1;0.00120334;831.019;0;0
45;2;0.00181885;549.798;0;0
46;1;0.00123297;811.05;0;0
47;2;0.00182498;547.951;0;0
48;1;0.0011339;881.912;0;0
49;4;0.00412523;242.411;1;100
50;4;0.00419611;238.316;1;100
51;1;0.00121968;819.89;0;0
52;1;0.00124196;805.176;0;0
53;5;0.00408801;244.618;0;48
54;4;0.00372212;268.664;1;100
55;1;0.00120995;826.484;0;0
56;4;0.00351196;284.741;1;100
57;5;0.00434713;230.037;1;100
58;1;0.00108244;923.843;0;0
59;1;0.00110055;908.638;0;0
60;1;0.00123127;812.17;0;0
61;1;0.00124446;803.56;0;0
62;4;0.00428756;233.233;1;100
63;1;0.00124376;804.011;0;0
64;1;0.00108933;917.998;0;0
65;4;0.00428627;233.303;1;100
66;2;0.00176068;567.961;0;0
67;2;0.00181043;552.354;0;0
68;1;0.00108452;922.069;0;0
69;1;0.00114157;875.986;0;0
70;1;0.00110457;905.328;0;0
71;1;0.00114352;874.491;0;0
72;2;0.00196465;508.996;0;0
